seed,vpc_true,naive,detection_only,sparse_only,both
0,16.111982265182615,6.800294818252015,16.887995504657045,16.46469118324824,32.45795377354946
1,33.155556212290946,15.094605573531064,32.59320470161401,21.947905476868215,34.23235588883479
2,21.92984933547576,6.3407210513211165,22.113407465754786,7.127941371906694,18.739082937434343
3,30.75435328078487,5.941644213462038,26.279575636684143,12.328689873181583,25.105616488119022
4,17.450924458859692,11.156852614871104,16.62261368106336,19.404899062262075,37.808125825670444
5,12.569151947479282,3.372228698765826,10.459288397704615,8.193359194810734,21.361095844799642
6,24.706351196073044,10.435175787274826,22.006183152920713,25.083096338212624,37.808125825670444
7,17.988102535499525,9.830831996343237,19.178776489066664,21.433564871840446,32.469929577548626
8,16.231441255025118,6.457807454876017,14.172217938480326,13.13679412637019,28.596392657600614
9,18.518300056168837,18.471877511526845,18.179893468178008,23.403009627429004,30.162251976634007
10,14.254209844032179,2.859075594974554,14.132962750919532,0.0,18.724166934421266
11,31.92978145602191,8.088201252221193,30.258006065274532,23.814795763601943,37.36961807427422
12,19.693952621869915,7.396891292600951,20.512307801838215,10.812078564220903,17.238222529566134
13,16.071559058250465,9.702279147568056,12.257060342923852,7.656243875131621,29.169844722605944
14,25.36586844090463,17.828612443241944,21.895390007916564,24.11434284530381,26.814134274357812
15,23.038271092303177,11.341238451567076,22.66220484121275,16.654097042076067,33.74458564871921
16,21.008201843041117,17.163114037397744,22.34684019118658,23.54632274279698,35.27070712474807
17,24.849941062136384,12.619667061669725,24.869680665853455,12.331830367303281,26.963373400560087
18,8.194385261950698,5.663725823346872,9.32256279512699,14.975761229774562,26.193213240096156
19,9.11281910237138,10.439982130926007,11.108340598877392,25.607576198208093,28.513495751991307
